date,spy_close,vix_close,vix3m_close,hyg_close,lqd_close,tlt_close,hy_oas,t10y2y,nfci
2021-08-17,415.013427734375,17.90999984741211,21.700000762939453,66.36451721191406,111.21369934082031,125.60490417480469,1.98,1.03,
2021-08-18,410.4710998535156,21.56999969482422,23.799999237060547,66.2124252319336,111.1395263671875,126.02680206298828,1.97,1.04,
2021-08-19,411.106689453125,21.670000076293945,24.200000762939453,66.2048110961914,111.39505767822266,126.95500946044922,1.98,1.02,
2021-08-20,414.3778381347656,18.559999465942383,22.40999984741211,66.36451721191406,111.46920776367188,127.0394287109375,1.96,1.03,-0.645
2021-08-23,418.0229797363281,17.149999618530273,21.200000762939453,66.56974029541016,111.55165100097656,126.95500946044922,1.97,1.02,
2021-08-24,418.68658447265625,17.219999313354492,21.219999313354492,66.66098022460938,111.29610443115234,125.96775817871094,1.95,1.05,
2021-08-25,419.5650939941406,16.790000915527344,20.790000915527344,66.72943115234375,111.00761413574219,124.9214096069336,1.93,1.12,
2021-08-26,417.0882873535156,18.84000015258789,21.860000610351562,66.69140625,110.97463989257812,125.26741027832031,1.92,1.09,
2021-08-27,420.8175354003906,16.389999389648438,20.610000610351562,66.87389373779297,111.59284973144531,126.11967468261719,1.92,1.09,-0.646
2021-08-30,422.6680908203125,16.190000534057617,20.399999618530273,66.95751953125,111.78244018554688,126.44876861572266,1.92,1.09,
2021-08-31,422.0418395996094,16.479999542236328,20.420000076293945,66.97270202636719,111.52690124511719,125.58802795410156,1.94,1.1,
2021-09-01,422.2661437988281,16.110000610351562,20.079999923706055,67.0299072265625,111.67058563232422,125.79837036132812,1.92,1.11,
2021-09-02,423.5652770996094,16.40999984741211,20.1299991607666,67.11380767822266,111.8687744140625,126.34761047363281,1.92,1.09,
2021-09-03,423.4625244140625,16.40999984741211,20.31999969482422,67.12141418457031,111.46417236328125,125.19856262207031,1.91,1.12,-0.647
2021-09-07,421.94830322265625,18.139999389648438,21.530000686645508,66.94598388671875,110.93574523925781,124.14236450195312,1.91,1.16,
2021-09-08,421.434326171875,17.959999084472656,21.59000015258789,67.02227020263672,111.29076385498047,124.98735809326172,1.91,1.13,
2021-09-09,419.63055419921875,18.799999237060547,22.059999465942383,67.0832748413086,112.01741790771484,126.49969482421875,1.9,1.07,
2021-09-10,416.3218994140625,20.950000762939453,23.309999465942383,66.98414611816406,111.69540405273438,125.38436889648438,1.88,1.12,-0.649
2021-09-13,417.38739013671875,19.3700008392334,22.469999313354492,67.15192413330078,111.96784973144531,126.14479064941406,1.87,1.12,
